case_summaries,source
"Gross v. FBL Financial Services, Inc., 557 U.S. 167 (2009), was a case decided by the Supreme Court of the United States in 2009, involving the standard of proof required for a claim under the Age Discrimination in Employment Act (ADEA).
Jack Gross, an employee of FBL Financial Services, Inc., was transferred to another position and a former subordinate took on many of Gross' old responsibilities. They both received the same compensation, but Gross believed his reassignment was a demotion. Gross brought suit against FBL in April 2004 in District Court, claiming ADEA violations. The court found in his favor and awarded him $46,945 in lost compensation. The United States Court of Appeals for the Eighth Circuit reversed the decision. The Supreme Court affirmed that reversal, finding that a plaintiff must prove by preponderance of evidence, that age was the ""but for"" cause of the adverse employment action.",wiki
"Zschernig v. Miller, 389 U.S. 429 (1968), was a case in which the Supreme Court of the United States invalidated an Oregon statute for unconstitutionally intruding into the federal realm of foreign affairs even though the statute did not conflict with any federal treaty or statute.",wiki
"Consolidated Edison Co. v. Public Service Commission, 447 U.S. 530 (1980), was a United States Supreme Court decision addressing the free speech rights of public utility corporations under the First Amendment. In a majority opinion written by Justice Lewis Powell, the Court invalidated an order by the New York Public Service Commission that prohibited utility companies from including inserts on controversial matters of public policy with billing statements.",wiki
"Ohio v. Robinette, 519 U.S. 33 (1996), was a United States Supreme Court case in which the Court held that the Fourth Amendment does not require police officers to inform a motorist at the end of a traffic stop that they are free to go before seeking permission to search the motorist's car.",wiki
"Hanson v. Denckla, 357 U.S. 235 (1958), was a case decided by the Supreme Court of the United States regarding personal jurisdiction in the context of assets held in trust.",wiki
"Michigan v. Long, 463 U.S. 1032 (1983), was a decision by the United States Supreme Court that extended Terry v. Ohio, 392 U.S. 1 (1968) to allow searches of car compartments during a stop with reasonable suspicion. The case also clarified and narrowed the extent of adequate and independent state ground, allowing U.S. Supreme Court review of state supreme court decisions unless they explicitly appealed to state laws.",wiki
"Chauffeurs, Teamsters, and Helpers Local No. 391 v. Terry, 494 U.S. 558 (1990), was a case in which the United States Supreme Court held that an action by an employee for a breach of a labor union's duty of fair representation entitled him to a jury trial under the Seventh Amendment.",wiki
"Chamber of Commerce v. Brown, 554 U.S. 60 (2008), is a United States labor law case, concerning the scope of federal preemption against state law for labor rights.",wiki
"Witmer v. United States, 348 U.S. 375 (1955), was a case in which the Supreme Court of the United States upheld a draft board's rejection of Jehovah's Witness claim of conscientious objector status as lacking sincerity.",wiki
"Christian Legal Society v. Martinez, 561 U.S. 661 (2010), is a United States Supreme Court case in which the Court upheld, against a First Amendment challenge, the policy of the University of California, Hastings College of the Law, governing official recognition of student groups, which required the groups to accept all students regardless of their status or beliefs in order to obtain recognition.",wiki
"Reitman v. Mulkey, 387 U.S. 369 (1967), was a United States Supreme Court decision that set an important legal precedent  that held that a state could not authorize invidious discrimination by private landlords without entangling itself in the ensuing  discriminatory private decisions. Thus, the state constitutional amendment by referendum purporting to authorize landlord freedom was unconstitutional.",wiki
"Stinson v. United States, 508 U.S. 36 (1993), is a decision of the United States Supreme Court that held Sentencing Commission guidelines may be cited as binding authority when courts issue sentences for criminal defendants.",wiki
"Wisconsin v. Jonas Yoder, 406 U.S. 205 (1972), is the case in which the United States Supreme Court found that Amish children could not be placed under compulsory education past 8th grade.  The parents' fundamental right to freedom of religion was determined to outweigh the state's interest in educating their children. The case is often cited as a basis for parents' right to educate their children outside of traditional private or public schools.
Like Sherbert v. Verner, the Court in Yoder required the government accommodate religious exercise by applying strict scrutiny to a neutral law that burdened religious exercise. Yoder differs from Sherbert v. Verner  because the compulsory school attendance law was non-discriminatory and did not include a mechanism for individualized exemptions. Later, in Employment Division v. Smith Justice Antonin Scalia wrote that Yoder involved a ""hybrid right"" composed of parental rights and free exercise. 
The Amish, who prevailed in the case, were represented by William Ball.

",wiki
"Nishikawa v. Dulles, 356 U.S. 129 (1958), is a United States Supreme Court case in which the Court ruled that a dual United States/Japanese citizen who had served in the Japanese military during World War II could not be denaturalized unless the United States could prove that he had acted voluntarily.
Mitsugi Nishikawa, born in California to Japanese parents, went to Japan to study, and he was conscripted into the Japanese military in early 1941. After the end of the war, Nishikawa was informed by US officials that he had lost his citizenship because he had served in a foreign army. His case was eventually reviewed by the Supreme Court, which decided that the burden of proof must be on the government to prove that Nishikawa's Japanese military service was undertaken voluntarily before he could be stripped of his citizenship.",wiki
"Hazelwood School District et al. v. Kuhlmeier et al., 484 U.S. 260 (1988), was a landmark decision by the Supreme Court of the United States which held, in a 5–3 decision, that student speech in a school-sponsored student newspaper at a public high school could be censored by school officials without a violation of First Amendment rights if the school's actions were ""reasonably related"" to a legitimate pedagogical concern.
The case concerned the censorship of two articles in The Spectrum, the student newspaper of Hazelwood East High School in St. Louis County, Missouri, 1983. When the school principal removed an article concerning divorce and another concerning teen pregnancy, the student journalists sued, claiming that their First Amendment rights had been violated. A lower court sided with the school, but its decision was overturned by the U.S. Court of Appeals for the Eighth Circuit, which sided with the students and found that the paper was a ""public forum"" comparable to speech outside an educational setting. The Supreme Court reversed, noting that the paper was established by school officials as a limited forum for the purpose of a supervised journalism class, and could be censored even though similar speech in an off-campus or independent student newspaper would be protected. 
The case, and the earlier Tinker v. Des Moines Independent Community School District (1969), are considered landmark decisions for defining the right of expression for students in public schools. While subsequent court rulings have varied on when Kuhlmeier applies, the case remains a strong precedent in the regulation of student speech. However, the state statutes protecting student free expression, enacted by 17 states as of March 23, 2023, most in response to the limitations of Kuhlmeier, typically adopt the more protective Tinker precedent.",wiki
"Hernandez v. Commissioner, 490 U.S. 680 (1989), is a decision of the United States Supreme Court relating to the Internal Revenue Code § 170 charitable contribution deduction.",wiki
"Davis v. United States, 495 U.S. 472 (1990), was a case decided by the United States Supreme Court. It concerned claims made by parents of two missionaries of the Church of Jesus Christ of Latter-day Saints, that their monetary contributions toward their sons' mission expenses constituted a ""charitable contribution"" under provisions of Treas. Reg. § 1.170A-1(g) (1989), a position that lower courts had rejected. In a unanimous decision, the Court ruled that these contributions could not be seen as ""charitable contributions"" under provisions of that statute.",wiki
"Wilson v. Arkansas, 514 U.S. 927 (1995), is a United States Supreme Court decision in which the Court held that the traditional, common-law-derived ""knock and announce"" rule for executing search warrants must be incorporated into the ""reasonableness"" analysis of whether the actual execution of the warrant is/was justified under the 4th Amendment. The high court thus ruled that the old ""knock and announce"" rule while not a hard requirement, was also not a dead letter.",wiki
"Bob Jones University v. United States, 461 U.S. 574 (1983), was a decision by the United States Supreme Court holding that the religion clauses of the First Amendment did not prohibit the Internal Revenue Service from revoking the tax exempt status of a religious university whose practices are contrary to a compelling government public policy, such as eradicating racial discrimination.",wiki
"United States v. Stevens, 559 U.S. 460 (2010), was a decision by the Supreme Court of the United States, which ruled that 18 U.S.C. § 48, a federal statute criminalizing the commercial production, sale, or possession of depictions of cruelty to animals, was an unconstitutional abridgment of the First Amendment right to freedom of speech.
After this ruling, the statute was revised by the Animal Crush Video Prohibition Act of 2010 to have much more specific language indicating it was intended only to apply to ""crush videos.""

",wiki
"Osborne v. Ohio, 495 U.S. 103 (1990), is a U.S. Supreme Court case in which the Court held that the First Amendment to the United States Constitution allows states to outlaw the possession, as distinct from the distribution, of child pornography. In doing so, the Court extended the holding of  New York v. Ferber, which had upheld laws banning the distribution of child pornography against a similar First Amendment challenge, and distinguished Stanley v. Georgia, which had struck down a Georgia law forbidding the possession of pornography by adults in their own homes. The Court also determined that the Ohio law at issue was not overbroad, relying on a narrowing interpretation of the law the Ohio Supreme Court had adopted in prior proceedings in the case; however, because it was unclear whether the state had proved all the elements of the crime, the Court ordered a new trial.

",wiki
"On the day following a California police officer's encounter with a known marijuana dealer, including the purchase from the dealer of a package of marijuana, other police officers observed an encounter between the dealer and the defendant husband, which occurred under identical surrounding circumstances except that the officers did not see any substance passing between the two men. The officers following the defendant lost contact with him when he made a U-turn in the middle of a block. Without securing a search warrant, the officers, among them one having information that the defendant husband was selling from his apartment marijuana possibly secured from the dealer, obtained from the building manager a passkey to defendants' apartment, and entered the apartment, where they found the defendant husband in the living room. The defendant wife emerged from the kitchen, and one of the officers, after identifying himself, observed through the open doorway of the kitchen a package of marijuana on a scale atop the kitchen sink. The officers then arrested both defendants and searched the apartment, finding additional marijuana in the kitchen cupboard and atop the bedroom dresser. The defendants were convicted in the Superior Court of Los Angeles County of possessing marijuana. Their convictions were affirmed by the California District Court of Appeal on the grounds that there was probable cause for the arrests, that the officers' entry into the apartment was for the purpose of arrest and was not unlawful, and that the search, being incident to the arrests, was likewise lawful and its fruits admissible in evidence against the defendants. (195 Cal App 2d 246, 15 Cal Rptr 767.)",lexis
"A fast-food Mexican restaurant chain, alleging that a second chain which had opened restaurants with a very similar motif had thereby infringed the first chain's trade dress in violation of 43(a) of the Trademark Act of 1946 (Lanham Act) (15 USCS 1125(a)) (later amended)--which provided that any person who used, in connection with any goods or services, any false description or representation was liable to any person damaged by such use--brought an action against the second chain in the United States District Court for the Southern District of Texas. The District Court instructed the jury that trade dress--that is, the total image and appearance of a business--was protected under 43(a) if it either was inherently distinctive or had acquired a secondary meaning--that is, a unique association with a specific source. The jury found that the first chain's trade dress was inherently distinctive but had not acquired a secondary meaning, and the District Court entered a judgment for the first chain. In affirming, the United States Court of Appeals for the Fifth Circuit (1) ruled that the District Court's instructions had adequately stated the applicable law, and that the evidence supported the jury's findings, and (2) rejected the second chain's argument that a finding of no secondary meaning contradicted a finding of inherent distinctiveness (932 F2d 1113, 19 USPQ2d 1253).",lexis
"Under New York state law, local school districts are authorized to permit various uses of school property when such property is not in use for school purposes. Among the permitted uses is the holding of social, civic, and recreational meetings and entertainments, but the list of permitted uses does not include meetings for religious purposes. Pursuant to state law as judicially interpreted, the board of the Center Moriches, New York, school district issued rules allowing social, civic, and recreational use of school property, but prohibiting the use of such property by any group for religious purposes. A local church applied to the board twice for permission to use school premises to exhibit for public viewing, outside of school hours, a six-part film series dealing with family and child-rearing issues and advocating ""Christian family values."" The board denied both applications on the ground that the film appeared to be ""church related."" Claiming that the board's actions violated, among other things, the free speech clause of the Federal Constitution's First Amendment, the church and its pastor brought suit against the board in the United States District Court for the Eastern District of New York. The District Court, in granting summary judgment for the board, (1) characterized the board's school facilities as a ""limited public forum""; (2) noted that the board had not opened its facilities to organizations similar to the church for religious purposes; and (3) concluded that the denials in question were ""viewpoint neutral"" (736 F Supp 1247). The United States Court of Appeals for the Second Circuit affirmed (959 F2d 381).",lexis
"The defendant contended that, as a juvenile who did not commit or intend to commit homicide, the sentence of life imprisonment without parole constituted cruel and unusual punishment. The U.S. Supreme Court held that U.S. Const. amend. VIII prohibited the imposition of a life-without-parole sentence on the juvenile offender who committed a nonhomicide crime and, while the defendant need not be guaranteed eventual release from the life sentence, he must have some realistic opportunity to obtain release before the end of the life term. The practice of sentencing a juvenile who did not commit a homicide offense to life without parole was exceedingly rare and a national community consensus developed against it, and none of the recognized goals of penal sanctions, i.e., retribution, deterrence, incapacitation, and rehabilitation, provided an adequate justification for the sentence. Further, it could not be conclusively determined at the time of sentencing that the juvenile defendant would be a danger to society for the rest of his life, and a sentence of life without parole improperly denied the juvenile offender a chance to demonstrate growth, maturity, and rehabilitation.",lexis
"The Court of Claims set aside, as arbitrary, capricious, and grossly erroneous, a decision of the Secretary of Interior upon a dispute concerning a question of fact arising under a government contract, although a provision thereof made the decision final and conclusive upon the parties thereto.",lexis
"Prior to trial in the United States District Court for the District of Colorado on a narcotics indictment, a defendant moved to sever his case from that of two codefendants, advising the court that the government intended to call his wife, an unindicted co-conspirator, as an adverse witness, and asserting his claim to a privilege to prevent her from testifying against him. After a hearing at which the defendant's wife was called as a government witness under a grant of use immunity and testified, among other things, that her cooperation with the government was based on assurances that she would be given lenient treatment, the District Court denied the motion, ruling that the defendant's wife could testify in support of the government's case to any act she observed during the marriage and to any communication made in the presence of a third person, but that confidential communications between the defendant and his wife were to be privileged and inadmissible. After being tried and convicted, the defendant appealed to the United States Court of Appeals for the Tenth Circuit, claiming that the admission of the adverse testimony of his wife, over his objection was reversible error since it contravened the United States Supreme Court's teaching in Hawkins v United States (1958) 358 US 74, 3 L Ed 2d 125, 79 S Ct 136, that the testimony of one spouse against the other is barred unless both consent. The Court of Appeals rejected the contention, however, concluding that the Hawkins decision did not prohibit the voluntary testimony of a spouse who appears as an unindicted co-conspirator under grant of immunity from the government in return for her testimony (583 F2d 1166).",lexis
"In a class action brought on behalf of all female welfare recipients residing in Connecticut and wishing divorces, but prevented from bringing divorce suits by Connecticut statutes requiring payment of court fees and costs for service of process as a condition precedent to access to the courts, the plaintiffs sought in the United States District Court for the District of Connecticut a judgment declaring the statutes invalid as applied to the class, and an injunction requiring defendants to permit members of the class to sue for divorce without payment of any fees and costs. A three- judge court dismissed the complaint for failure to state a claim (286 F Supp 968).",lexis
"A black employee of a halfway house operated by the Missouri department of corrections and human resources brought, in the United States District Court for the Eastern District of Missouri, an action under 703(a)(1) of Title VII of the Civil Rights Act of 1964 (42 USCS 2000e-2(a)(1)) alleging that the halfway house had violated 703(a)(1) by demoting and then discharging the employee because of his race. The District Court, acting as trier of fact in a full bench trial, (1) found that (a) the employee had established a prima facie case of racial discrimination, and (b) the reasons that the employer gave for the demotion and discharge were not the real reasons for the demotion and discharge, but (2) ruled for the employer on the basis that the employee had failed to carry his ultimate burden of proving that his race was the determining factor in the employer's allegedly discriminatory actions (756 F Supp 1244). The United States Court of Appeals for the Eighth Circuit reversed and remanded, expressing the view that, once the employee had proved all of the employer's proffered reasons for the adverse employment actions to be pretextual, the employee was entitled to judgment as a matter of law (970 F2d 487).",lexis
"The ordinance violated the Tonnage Clause. The Clause's prohibition embraced all taxes and duties regardless of their name or form, and even though not measured by tonnage, which operated to impose a charge for the privilege of entering, trading in, or lying in a port. The ordinance taxed no other form of personal property and its amount depended upon the ship's capacity. It raised revenue for general municipal services, which argued in favor of applying the Clause. The ordinance applied almost exclusively to oil tankers and was closely correlated with cargo capacity. Entry into port automatically established a tax situs in the City. Whatever words the City used to describe the tax imposed on mobile homes, trailers, and recreational vehicles, it in fact taxed those vehicles only when they were a form of real property like a home. The ship tax differed from the tax on other oil-related property under Alaska Stat. _ 43.56.210 (2008), in that it was a purely municipal tax with no effective electorate-related check upon the City's vessel-taxing power.",lexis
"The passenger was riding in a rear aisle seat of a minivan and was wearing a lap seatbelt when the vehicle was involved in an accident. Petitioners alleged that the passenger died because the manufacturer equipped the van's rear aisle seats with lap belts instead of lap-and-shoulder belts. The state courts found that the state tort claim was preempted by 49 C.F.R. ¬¨√ü 571.208 (1993), promulgated under the National Traffic and Motor Vehicle Safety Act of 1966, former 15 U.S.C.S. ¬¨√ü 1381 et seq. (recodified at 49 U.S.C.S. ¬¨√ü 30101 et seq.). Section 571.208 allowed manufacturers to install either lap belts or lap-and-shoulder belts on a vehicle's rear inner seats. The Supreme Court held that the express preemption clause under former 15 U.S.C.S. ¬¨√ü 1392(d) did not preempt a common-law tort action given the savings clause under former 15 U.S.C.S. ¬¨√ü 1397(k). Although former ¬¨√ü 1397(k) did not limit the operation of conflict preemption principles, petitioners' tort claim was not preempted because giving manufacturers a choice between the restraint types was not a significant regulatory objective. An agency cost-effectiveness judgment was not sufficient by itself to establish preemptive intent.",lexis
"A deportable alien's application for suspension of deportation was denied by the Board of Immigration Appeals. The alien applied for habeas corpus, alleging that the denial of his application by the Board was prejudged through the issuance by the Attorney General, prior to the Board's decision, of a confidential list of ""unsavory characters"" including the alien's name, which made it impossible for him to secure fair consideration of his case.",lexis
"Following his discharge from employment, the plaintiff, a black, filed a grievance under a collective-bargaining agreement which contained a nondiscrimination clause. Prior to an arbitration hearing on the plaintiff's claim under the collective-bargaining agreement, plaintiff filed a charge of racial discrimination with the Colorado Civil Rights Commission which referred the matter to the Equal Employment Opportunity Commission. Thereafter, the arbitrator, without referring to the plaintiff's claim of racial discrimination, found that the plaintiff had been discharged for cause. Following a determination by the Equal Employment Opportunity Commission that there was not reasonable cause to believe that Title VII of the Civil Rights Act of 1964 (42 USCS 2000e et seq.), which requires equal employment opportunities, had been violated, the plaintiff instituted the instant action under Title VII in the United States District Court for the District of Colorado. The District Court granted summary judgment against the plaintiff and dismissed the action on the ground that having voluntarily elected to pursue his grievance to final arbitration under the nondiscrimination clause of the collective bargaining agreement, the plaintiff was bound by the arbitral decision and thereby precluded from suing his employer under Title VII (346 F Supp 1012). The Court of Appeals for the Tenth Circuit affirmed (466 F2d 1209).",lexis
"After the directors of a corporation had authorized the use of corporate funds to finance the cost of advertisements made in connection with the 1972 presidential election, one of the stockholders brought a two-count action against the directors in the United States District Court for the Eastern District of Pennsylvania to obtain injunctive relief against further corporate expenditures in connection with the 1972 election or any future campaign, and to obtain compensatory and punitive damages in favor of the corporation. One of the counts alleged federal jurisdiction in the District Court and asserted a private claim for relief under 18 USCS 610--a criminal statute prohibiting corporations from making contributions or expenditures in connection with federal elections. Following the District Court's denial of a preliminary injunction and an affirmance of the ruling by the United States Court of Appeals for the Third Circuit, there were subsequent proceedings in the District Court at which the stockholder filed an amended complaint. Summary judgment for the defendant directors was granted, but the United States Court of Appeals for the Third Circuit reversed, holding that since the amended complaint sought damages on behalf of the corporation for violation of 610, the controversy was not moot, although the election which occasioned it was over, and that a private cause of action, whether brought by a citizen to secure injunctive relief or by a stockholder to secure injunctive or derivative damage relief, was proper to remedy the violation of 610 (496 F2d 416).",lexis
"Persons having an interest in a patent on a nonrechargeable electrical battery using magnesium and cuprous chloride electrodes in a water electrolyte sued the United States in the United States Court of Claims for infringement and breach of an implied contract to pay compensation for use of the invention. The Court of Claims held the patent valid and infringed (165 Ct Cl 576, 330 F2d 622), and about 6 months later, on a motion to amend the judgment, it held that no contract had been established.",lexis
"During the accused's prosecution in a New York state court for criminal possession of a weapon, the trial judge excluded the accused's statement, ""the gun is over there,"" the gun itself, and later statements about the accused's ownership of the gun and the place of purchase, because the original statement was made and the gun was retrieved before the accused was read his Miranda rights. The accused was apprehended in a supermarket after a chase by an officer following a rape complaint. Upon stopping the accused, the officer frisked him, discovered that he was wearing an empty shoulder holster, and asked him where the gun was. The accused nodded in the direction of some empty cartons and said, ""the gun is over there."" The officer retrieved the gun, formally placed the accused under arrest, and read him his Miranda rights from a printed card. The state appealed, but the exclusionary decision was affirmed by the Appellate Division of the Supreme Court of New York (447 NYS2d 84) and by the New York Court of Appeals (58 NY2d 664, 444 NE2d 984).",lexis
"In continuing proceedings in the United States District Court for the Middle District of Alabama at Montgomery, Alabama, wherein the court, over a period of 4 or 5 years, had conducted annual hearings and had issued orders to the defendant county school board to expedite integration of the county public school system as rapidly as practicable, an order was issued which scheduled desegregation of faculty and staff on a ratio basis after the school board had failed to make adequate progress toward faculty desegregation as previously directed by the court. Such order (1) provided that the board must move toward a goal under which the ratio of white to Negro faculty members in each school was substantially the same as the ratio throughout the school system, (2) fixed the ratio as to the assignment of substitute, student, and night school teachers in each school almost immediately at substantially the same as the ratio of Negro to white teachers in each such group for the entire system, (3) directed that for the coming school year, schools with less than 12 full-time teachers have at least one teacher whose race was different from the race of the majority of the faculty at that school, and that schools with 12 or more full-time teachers have at least one teacher of a minority race for every 6 faculty and staff members, whereas the ratio of white to Negro full-time teachers in the entire system was 3 to 2, and (4) reserved for later decision the goals to be required for future years. (289 F Supp 647.) On appeal by the school board, the Court of Appeals for the Fifth Circuit modified the order to require only ""substantially or approximately"" the ratio required for the coming school year for full-time teachers, and to eliminate the numerical ratio with regard to the ultimate objective for the future on the ground that compliance should not be tested solely by the achievement of specified ratios. (400 F2d 1.) Petitions for rehearing en banc were denied by an evenly divided court. (402 F2d 782.)",lexis
"A citizen brought suit against the city of Memphis, its police department, and various individuals, alleging that the constitutional rights of his deceased son had been violated when a police officer shot the youth in order to prevent his escape from the scene of a burglary, even though he did not appear to be armed. The United States District Court for the Western District of Tennessee dismissed the complaint, ruling that the officer's actions were authorized by a Tennessee statute which allowed the police to use all necessary means to effect an arrest where a suspect fled or forcibly resisted after being notified of the intent to arrest, and that this statute was constitutional. The United States Court of Appeals for the Sixth Circuit reversed and remanded, holding that the statute violated the Fourth Amendment (710 F2d 240).",lexis
"In defendant's trial, in the Twenty-Fifth Judicial District Court of Louisiana, on a charge of simple battery--a misdemeanor, punishable by a fine of not more than $ 300, or imprisonment for not more than 2 years, or both--defendant's demand for a jury trial was denied by the court pursuant to a provision in the Louisiana constitution authorizing a trial by jury only in cases in which the punishment is at hard labor or capital. Defendant was convicted and sentenced to serve 60 days in the parish prison and pay a fine of $ 150. The Supreme Court of Louisiana denied review. (250 La 253, 195 So 2d 142.)",lexis
"An electric utility instituted the present action in the United States District Court for the Middle District of Tennessee for a declaratory judgment establishing that a contract by which the utility purchased from a producer of coal all the coal the utility would require as boiler fuel at one of its generating plants in Florida over a 20-year period was valid, and did not, as alleged by the producer, violate 3 of the Clayton Act, which makes it unlawful for any person engaged in commerce to make a sale on the understanding that the purchaser shall not use the goods of a competitor of the seller, where the effect of such sale may be to substantially lessen competition or tend to create a monopoly in any line of commerce. Both the District Court (168 F Supp 456), and on appeal, the Court of Appeals for the Sixth Circuit, one of the judges dissenting (276 F2d 766), agreed with the producer.",lexis
"An inmate of a state prison sought habeas corpus in a federal court on the ground that his trial and conviction was in violation of due process and of the Federal Kidnaping Act (18 USC 1201). This contention was based on the fact that, while living outside the state, he had been seized by state officers and forcibly abducted into the state. The Court of Appeals agreed, while the District Court disagreed, with this contention.",lexis
"One day prior to the effective date of a Massachusetts statute governing the type of consent, including parental consent, required for the performance of an abortion on an unmarried woman under the age of 18, an action challenging the validity of the statute's provisions under the Fourteenth Amendment was brought in the United States District Court for the District of Massachusetts. Following the single-judge District Court's issuance of a temporary restraining order enjoining the enforcement of the statute's parental consent requirement and the judge's grant of a request for the convening of a three-judge court, a three-judge District Court held the statute unconstitutional, permanently enjoined the operation of the statutory provisions governing consent, and denied by implication a motion that the District Court abstain from a decision pending an authoritative construction of the statute by the Supreme Judicial Court of Massachusetts (393 F Supp 847).",lexis
"After a nonjury trial before a nonlawyer judge in the Lynch City Police Court of Lynch City, Kentucky, an accused was found guilty of driving while intoxicated and was sentenced to 30 days in jail, a $ 150 fine, and revocation of his driver's license. The accused did not appeal to a Kentucky circuit court for a trial de novo, to which he was entitled, but petitioned for a writ of habeas corpus in the Harlan County Circuit Court. The circuit court denied relief and the Kentucky Court of Appeals affirmed (516 SW2d 103). The United States Supreme Court vacated the judgment and remanded it for further consideration (419 US 1085, 42 L Ed 2d 677, 95 S Ct 673) but the Kentucky Court of Appeals adhered to its position.",lexis
"Gartenberg was correct in its basic ¬¨√ü 80a-35(b) formulation: for liability, an adviser's fee had to be so disproportionately large that it bore no reasonable relationship to the services rendered and could not have been the product of arm's length bargaining. The test's essence was whether under all the circumstances the transaction carried the earmarks of an arm's length bargain, and the shareholders had the burden of proof. The measure of deference owed to a board varied depending on the circumstances. Courts could compare fees charged to different types of clients, but the Investment Company Act of 1940 did not necessarily ensure fee parity between mutual funds and institutional clients. Courts were also not to rely too heavily on comparisons with fees of other advisers. The standard for fiduciary breach under ¬¨√ü 80a-35(b) did not call for judicial second-guessing of informed board decisions. Gartenberg's ""so disproportionately large"" standard reflected the congressional choice to rely largely upon independent director ""watchdogs"" to protect shareholders interests. The Seventh Circuit erred by focusing almost entirely on disclosure.",lexis
"In connection with an investigation of alleged interstate transportation of obscene materials, a federal grand jury sitting in the Eastern District of Virginia issued subpoenas duces tecum to three corporations--the first of which distributed sexually oriented paperback books, magazines, and videotapes, the second of which distributed adult materials, and the third of which sold books, magazines, and videotapes. All three corporations were based in New York and were wholly owned by the same person. The subpoenas sought a variety of corporate books and records as well as copies of 193 videotapes that the videotape distributor had shipped to retailers in the Eastern District of Virginia. The United States District Court for the Eastern District of Virginia denied the motions of all three corporations to quash the subpoenas, and, after the corporations still refused to comply with the subpoenas, the District Court found each corporation in contempt. The United States Court of Appeals for the Fourth Circuit (1) upheld the subpoenas for the videotape distributor's business records and remanded the motion to quash the subpoena for that corporation's videotapes, and (2) quashed the subpoenas for the business records of the other two corporations (884 F2d 772). In quashing the subpoenas, the Court of Appeals concluded that, because there was no evidence in the record that either of the two corporations had ever shipped materials into, or otherwise conducted business in, the Eastern District of Virginia, and because any evidence concerning matters outside Virginia would most likely be inadmissible on relevancy grounds at any trial that might occur, the subpoenas failed to meet the requirement--established in a prior Supreme Court case with respect to subpoenas issued in the trial context--that any documents subpoenaed under Rule 17(c) of the Federal Rules of Criminal Procedure, which governs the issuance of subpoenas duces tecum in federal criminal proceedings, must be admissible as evidence at trial.",lexis
"After the accused's conviction for possession of a counterfeit $ 20 bill was affirmed by the United States Court of Appeals for the Ninth Circuit, he filed a timely petition for rehearing and was informed that he would be notified as to the disposition of his petition as soon as the court acted. When several months had passed without any word, he wrote to the Court of Appeals and was informed that his petition for rehearing had been denied about 6 months earlier. Less than 3 weeks later, he petitioned the United States Supreme Court for a writ of certiorari, but he died before the Supreme Court took any action upon his petition.",lexis
"The record indicated that the inmate's counsel failed to file his habeas petition within the one-year time limit under ¬¨√ü 2244(d)(1), even though the inmate wrote a number of letters urging counsel to timely file the petition. The Eleventh Circuit held that an attorney's unprofessional conduct could not warrant equitable tolling absent proof of bad faith, dishonesty, divided loyalty, mental impairment, or so forth. The Supreme Court held that ¬¨√ü 2244(d) was subject to equitable tolling in appropriate cases and also held that the Eleventh Circuit's standard was too rigid. The AEDPA statute of limitations was not jurisdictional and was subject to a presumption in favor of equitable tolling. A showing of ""extraordinary circumstances"" was necessary to warrant equitable tolling, and it was possible that professional misconduct that fell short of the Eleventh Circuit's requirements could amount to egregious behavior. Further factual consideration was needed to determine whether counsel's failure to timely file the petition, to correctly determine the filing deadline, and to respond to the inmate's many requests for information warranted equitable tolling.",lexis
"The trial of a capital offense in Illinois is conducted in two phases, with the same jury being used in each phase. If the defendant is convicted of first-degree murder in the first phase, a separate sentencing hearing is held as the second phase to determine the existence of aggravating and mitigating factors, and the defendant is sentenced to death if the jury unanimously determines that (1) at least one statutory aggravating factor exists, and (2) there are no mitigating factors sufficient to preclude the imposition of a death sentence. An Illinois trial court, conducting voir dire in a capital case, questioned each venire--at the request of the prosecution, and over defense objections--whether any member had moral or religious scruples that would prevent the member from imposing the death penalty regardless of the facts. The trial court refused a defense request to ask prospective jurors whether they would automatically vote to impose the death penalty if they found the defendant guilty, as the trial court found that it had asked substantially the same question in a different manner--the court having asked (1) 9 of the 12 jurors eventually impaneled whether they would follow his instructions on the law even if they disagreed, and (2) all of the jurors whether they felt that they could be fair and impartial. When impaneled, the jurors swore an oath to render a verdict according to the law and the evidence. The jury thereafter convicted the defendant of first-degree murder and sentenced him to death. In affirming the conviction and sentence on appeal, the Supreme Court of Illinois held that (1) there is no rule requiring a trial court to ""life qualify"" a jury to exclude all jurors who believe that the death penalty should be imposed in every murder case; and (2) the defendant's sentence was valid, given that none of the jurors actually selected either (a) expressed any views that would call his or her impartiality into question, or (b) was shown to be biased in favor of the death penalty (142 Ill 2d 410, 154 Ill Dec 534, 568 NE2d 755).",lexis
"The sole question in the instant case was whether the Federal Smith Act (18 USC 2385), which prohibits the knowing advocacy of the overthrow of the government of the United States by force and violence, supersedes the enforceability of the Pennsylvania Sedition Act, which proscribes the same conduct and under which the defendant, a member of the Communist Party, had been convicted in the Pennsylvania state courts.",lexis
"An underground newspaper publisher was convicted of violating a Wisconsin obscenity statute by disseminating an issue with two relatively small pictures, on an interior page, of a nude man and a nude woman embracing in a sitting position, as ""similar"" to photographs seized from the newspaper's photographer at the time of his arrest on obscenity charges, which was the subject of an accompanying article; and an issue including a ""Sex Poem,"" which was an undisguisedly frank, play-by-play account of the poet's recollection of sexual intercourse. The Supreme Court of Wisconsin upheld his convictions. (51 Wis 2d 668, 188 NW2d 467).",lexis
